level_0,course,haccuracy,latitude,longitude,speed,time,nickname,At,d,v
119,171.13828,9.486028,41.363829313,2.141152991,1.62192,2018-11-08 06:46:47,mon_0002_peu_2,1.0,1.6174156526293535,1.6174156526293535
120,169.1146,9.011419,41.363814892,2.141150458,1.56529,2018-11-08 06:46:48,mon_0002_peu_2,1.0,1.8703193364893347,1.8703193364893347
121,180.43323,9.02763,41.363798327,2.141146569,1.821363,2018-11-08 06:46:49,mon_0002_peu_2,1.0,1.9287879166504212,1.9287879166504212
122,178.21085,9.045211,41.363781062,2.141144338,1.891065,2018-11-08 06:46:50,mon_0002_peu_2,1.0,1.9601404247843766,1.9601404247843766
123,183.04982,9.132292,41.363763609,2.141141037,1.918579,2018-11-08 06:46:51,mon_0002_peu_2,1.0,1.5567156186318747,1.5567156186318747
124,183.21526,9.328181,41.363749791,2.14113804,1.612176,2018-11-08 06:46:52,mon_0002_peu_2,1.0,0.9242532531586013,0.9242532531586013
125,174.87035,9.473099,41.363741511,2.141137069,1.116019,2018-11-08 06:46:53,mon_0002_peu_2,1.0,0.5205556513918859,0.5205556513918859
126,175.02095,9.576731,41.363736921,2.141135842,0.76653,2018-11-08 06:46:54,mon_0002_peu_2,1.0,0.5715065072510441,0.5715065072510441
127,173.17542,9.649587,41.363731827,2.141134931,0.804199,2018-11-08 06:46:55,mon_0002_peu_2,1.0,0.6504804776666057,0.6504804776666057
128,173.35974,9.721113,41.363726027,2.141133915,0.832878,2018-11-08 06:46:56,mon_0002_peu_2,1.0,0.6122953758580233,0.6122953758580233
129,177.1247,9.569227,41.363720632,2.141132446,0.788192,2018-11-08 06:46:57,mon_0002_peu_2,1.0,0.812586071670119,0.812586071670119
130,177.71625,9.453039,41.363713385,2.141131193,1.013635,2018-11-08 06:46:58,mon_0002_peu_2,1.0,1.0151736060307275,1.0151736060307275
131,177.79904,9.551517,41.363704267,2.141130578,1.161102,2018-11-08 06:46:59,mon_0002_peu_2,1.0,1.0883585271638023,1.0883585271638023
132,177.92322,9.646749,41.363694499,2.141129748,1.226582,2018-11-08 06:47:00,mon_0002_peu_2,1.0,1.1929645386509908,1.1929645386509908
133,170.99352,9.735922,41.363683775,2.141130166,1.283167,2018-11-08 06:47:01,mon_0002_peu_2,1.0,1.2399208329753093,1.2399208329753093
134,165.9864,9.815363,41.363672686,2.141131729,1.335272,2018-11-08 06:47:02,mon_0002_peu_2,1.0,1.2297091116136927,1.2297091116136927
135,154.61298,8.539759,41.363661934,2.141135177,1.373096,2018-11-08 06:47:03,mon_0002_peu_2,1.0,0.988320859765885,0.988320859765885
136,155.2622,7.649059,41.363653046,2.141135253,1.162166,2018-11-08 06:47:04,mon_0002_peu_2,1.0,1.0099123093655726,1.0099123093655726
137,150.50536,6.919005,41.36364398,2.141135979,1.036346,2018-11-08 06:47:05,mon_0002_peu_2,1.0,1.2163133568211946,1.2163133568211946
138,158.97852,6.369261,41.363633047,2.141136444,1.167018,2018-11-08 06:47:06,mon_0002_peu_2,1.0,1.3134225749114607,1.3134225749114607
139,161.03432,5.986705,41.363621278,2.141137784,1.258841,2018-11-08 06:47:07,mon_0002_peu_2,1.0,1.251253265440946,1.251253265440946
140,158.4484,6.003961,41.363610363,2.14114143,1.307223,2018-11-08 06:47:08,mon_0002_peu_2,1.0,1.2886253197548534,1.2886253197548534
141,164.21219,6.029753,41.36359897,2.141144257,1.341806,2018-11-08 06:47:09,mon_0002_peu_2,1.0,1.3377114557993048,1.3377114557993048
142,163.75392,6.056631,41.36358714,2.14114717,1.371364,2018-11-08 06:47:10,mon_0002_peu_2,1.0,1.3052902327620783,1.3052902327620783
143,163.2905,6.087667,41.363575622,2.141150189,1.384591,2018-11-08 06:47:11,mon_0002_peu_2,1.0,1.1832489401496837,1.1832489401496837
144,156.96129,5.79741,41.363565318,2.14115373,1.392912,2018-11-08 06:47:12,mon_0002_peu_2,1.0,1.143528685182601,1.143528685182601
145,152.7122,5.577933,41.363555682,2.141158517,1.389603,2018-11-08 06:47:13,mon_0002_peu_2,1.0,1.153083362717813,1.153083362717813
146,148.61722,5.408441,41.363546373,2.141164605,1.387112,2018-11-08 06:47:14,mon_0002_peu_2,1.0,0.983496303426606,0.983496303426606
147,148.77824,5.265229,41.363538506,2.141169991,1.179519,2018-11-08 06:47:15,mon_0002_peu_2,1.0,0.9297949080802218,0.9297949080802218
148,143.37299,5.142606,41.363531419,2.141175904,1.039198,2018-11-08 06:47:16,mon_0002_peu_2,1.0,1.0804490688479684,1.0804490688479684
149,135.92636,5.044867,41.363523965,2.141184209,1.158543,2018-11-08 06:47:17,mon_0002_peu_2,1.0,1.2245167341332968,1.2245167341332968
150,130.39323,4.970568,41.363516086,2.14119446,1.240603,2018-11-08 06:47:18,mon_0002_peu_2,1.0,1.2754586240018744,1.2754586240018744
151,126.68182,4.913017,41.363508226,2.141205591,1.295634,2018-11-08 06:47:19,mon_0002_peu_2,1.0,1.261794234004885,1.261794234004885
152,123.97952,4.870432,41.363500867,2.1412171,1.330043,2018-11-08 06:47:20,mon_0002_peu_2,1.0,1.30128921528277,1.30128921528277
153,127.52822,4.850477,41.363492826,2.141228429,1.353111,2018-11-08 06:47:21,mon_0002_peu_2,1.0,1.3619347666728963,1.3619347666728963
154,131.7958,4.84649,41.363483724,2.141239349,1.37972,2018-11-08 06:47:22,mon_0002_peu_2,1.0,1.351566334427424,1.351566334427424
155,127.041504,4.843737,41.36347529,2.141251011,1.395943,2018-11-08 06:47:23,mon_0002_peu_2,1.0,1.4288131806483415,1.4288131806483415
156,126.67056,4.850653,41.363466365,2.141263328,1.410945,2018-11-08 06:47:24,mon_0002_peu_2,1.0,1.4877784959096854,1.4877784959096854
157,123.67238,4.865112,41.363457382,2.14127654,1.430059,2018-11-08 06:47:25,mon_0002_peu_2,1.0,1.3123308197807133,1.3123308197807133
158,124.00807,4.865139,41.363449212,2.141287888,1.225195,2018-11-08 06:47:26,mon_0002_peu_2,1.0,1.1568094777381195,1.1568094777381195
159,124.59483,4.859017,41.363441701,2.141297479,1.078423,2018-11-08 06:47:27,mon_0002_peu_2,1.0,1.279374293163723,1.279374293163723
160,126.09918,4.862757,41.363433402,2.141308097,1.189487,2018-11-08 06:47:28,mon_0002_peu_2,1.0,1.3357326343132938,1.3357326343132938
161,123.21342,4.8601,41.363425161,2.141319742,1.270312,2018-11-08 06:47:29,mon_0002_peu_2,1.0,1.4482871217084445,1.4482871217084445
162,125.04379,4.875702,41.363415948,2.141332009,1.329446,2018-11-08 06:47:30,mon_0002_peu_2,1.0,1.5151027669905883,1.5151027669905883
163,127.05217,4.895749,41.363406116,2.141344578,1.365396,2018-11-08 06:47:31,mon_0002_peu_2,1.0,1.5239614290232832,1.5239614290232832
164,132.21082,4.90884,41.36339586,2.141356691,1.393216,2018-11-08 06:47:32,mon_0002_peu_2,1.0,1.4049323255383905,1.4049323255383905
165,120.4254,4.919129,41.363388347,2.141370226,1.408961,2018-11-08 06:47:33,mon_0002_peu_2,1.0,1.3883391936946392,1.3883391936946392
166,127.57704,5.091555,41.363380345,2.141382996,1.424287,2018-11-08 06:47:34,mon_0002_peu_2,1.0,1.3473746076170063,1.3473746076170063
167,136.4656,5.24782,41.363371486,2.141394011,1.427475,2018-11-08 06:47:35,mon_0002_peu_2,1.0,1.3260022795202566,1.3260022795202566
168,143.77737,5.384678,41.3633619,2.141403462,1.427127,2018-11-08 06:47:36,mon_0002_peu_2,1.0,1.1830750926770794,1.1830750926770794
169,143.67401,5.499266,41.363353552,2.141412251,1.217748,2018-11-08 06:47:37,mon_0002_peu_2,1.0,1.088096645122681,1.088096645122681
170,135.99773,5.365069,41.36334718,2.141422146,1.066751,2018-11-08 06:47:38,mon_0002_peu_2,1.0,1.178493982677311,1.178493982677311
171,121.41609,5.259389,41.363342116,2.141434551,1.180974,2018-11-08 06:47:39,mon_0002_peu_2,1.0,1.3348525975166035,1.3348525975166035
172,128.46896,5.216854,41.363334706,2.141447135,1.264647,2018-11-08 06:47:40,mon_0002_peu_2,1.0,1.3587818000344458,1.3587818000344458
173,142.50908,5.170991,41.363325182,2.141457336,1.321525,2018-11-08 06:47:41,mon_0002_peu_2,1.0,1.419814791636552,1.419814791636552
174,143.21815,5.137826,41.363315106,2.141467786,1.36981,2018-11-08 06:47:42,mon_0002_peu_2,1.0,1.4866032727233678,1.4866032727233678
175,136.9571,5.118032,41.363305218,2.141479775,1.401041,2018-11-08 06:47:43,mon_0002_peu_2,1.0,1.5028939644099175,1.5028939644099175
176,139.33951,5.069258,41.363294693,2.141491073,1.418083,2018-11-08 06:47:44,mon_0002_peu_2,1.0,1.4450078873515715,1.4450078873515715
177,141.20105,5.02964,41.363284209,2.141501304,1.419562,2018-11-08 06:47:45,mon_0002_peu_2,1.0,1.455492240347429,1.455492240347429
178,140.59784,4.997772,41.363273465,2.141511266,1.429178,2018-11-08 06:47:46,mon_0002_peu_2,1.0,1.465658375983777,1.465658375983777
179,142.69034,4.969151,41.363262353,2.141520712,1.437471,2018-11-08 06:47:47,mon_0002_peu_2,1.0,1.3622532282631656,1.3622532282631656
180,142.92303,4.941952,41.36325193,2.14152929,1.23051,2018-11-08 06:47:48,mon_0002_peu_2,1.0,1.287799224701406,1.287799224701406
181,141.1363,4.911119,41.363242098,2.141537445,1.08739,2018-11-08 06:47:49,mon_0002_peu_2,1.0,1.4070257386572245,1.4070257386572245
182,140.46857,4.890184,41.363231409,2.141546468,1.201538,2018-11-08 06:47:50,mon_0002_peu_2,1.0,1.486467059166577,1.486467059166577
183,144.04404,4.347337,41.363219816,2.141555337,1.281442,2018-11-08 06:47:51,mon_0002_peu_2,1.0,1.587691223917526,1.587691223917526
184,143.77489,4.278653,41.363207545,2.141565064,1.343928,2018-11-08 06:47:52,mon_0002_peu_2,1.0,1.651275070821541,1.651275070821541
185,148.73491,4.196759,41.363194305,2.141574025,1.388326,2018-11-08 06:47:53,mon_0002_peu_2,1.0,1.6724416149918238,1.6724416149918238
